site_name,device_hostname,device_description,last_user,last_seen,device_type,device_model,operating_system,serial_number,device_cpu,mac_addresses
AAM,CVSH-Tclock-915,Basement New,CVSH-TCLOCK-915\cpadmin,Currently Online,Desktop,STEALTH-H88,Microsoft Windows 10 IoT Enterprise LTSC 10.0.19044,5C00929,Intel(R) Core(TM) i3-8100T CPU @ 3.10GHz,00:07:32:83:35:24|8C:1D:96:E3:54:0D|8C:1D:96:E3:54:09
AAM,TTY,CVSH_TClock800 second floor,TTY\Administrator,Currently Online,Desktop,STEALTH-H87,Microsoft Windows 10 Pro 10.0.19045,5M72717,Intel(R) Core(TM) i3-4330TE CPU @ 2.40GHz,00:07:32:45:57:9F|E0:9D:31:B1:0A:50
AAM,sp730,SP730,CVSH\ssandhu,Currently Online,Server,VMware Virtual Platform,Microsoft Windows Server 2008 R2 Standard 6.1.7601,VMware-56 4d 58 d0 ab 01 90 85-42 e1 d8 b8 ff d6 f9 c1,Intel(R) Xeon(R) CPU E5-2637 v3 @ 3.50GHz,00:0C:29:D6:F9:C1
AAM,AAMDT614,AAMDT614,CVSH\ra30371,Currently Online,Desktop,OptiPlex 7020,Microsoft Windows 10 Pro 10.0.19045,BMNX942,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,98:90:96:B5:36:C8
AAM,AAMLT731,AAMLT731,CVSH\du12964,Currently Online,Laptop,HP Laptop 15-dy2xxx,Microsoft Windows 11 Pro 10.0.26100,5CD3024SD8,11th Gen Intel(R) Core(TM) i3-1115G4 @ 3.00GHz,BC:F4:D4:6C:6A:75|BC:F4:D4:6C:6A:76
AAM,PMI-12,Parag - 12,PMI-12\PMI NEW,Currently Online,Desktop,HP All-in-One 22-dd0xxx,Microsoft Windows 11 Home 10.0.26100,8CC2370VQJ,Intel(R) Celeron(R) J4025 CPU @ 2.00GHz,5C:60:BA:C9:99:AF|3C:55:76:48:F5:87|3C:55:76:48:F5:88
AAM,SOFTSCRIPT615,SOFTSCRIPT615,SOFTSCRIPT615\Administrator,Currently Online,Server,PowerEdge R610,Microsoft Windows Server 2008 R2 Standard 6.1.7601,71ZMQW1,Intel(R) Xeon(R) CPU E5620 @ 2.40GHz,78:45:C4:F2:80:32|78:45:C4:F2:80:34|78:45:C4:F2:80:36|78:45:C4:F2:80:38
AAM,CVSHDT973,AAM278,CVSH\jt13004,Currently Online,Desktop,HP Compaq Pro 6300 SFF,Microsoft Windows 10 Pro 10.0.19045,MXL31915FT,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz,88:51:FB:41:BC:AB
AAM,CVSHDT219,CVSHDT219,CVSH\jy12469,Currently Online,Desktop,HP Compaq 8100 Elite SFF PC,Microsoft Windows 10 Pro 10.0.19045,2UA12613GV,Intel(R) Core(TM) i5 CPU 650 @ 3.20GHz,78:E3:B5:94:B6:B4
AAM,PGUC,PGUC,PGUC\Admin,Currently Online,Desktop,HP Compaq Pro 6300 SFF,Microsoft Windows 11 Pro 10.0.22621,MXL31915H8,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz,88:51:FB:46:D7:B5
AAM,AAMDT425,AAMDT425,CVSH\nr30405,Currently Online,Desktop,OptiPlex 7010,Microsoft Windows 10 Pro 10.0.19045,246F6Y1,Intel(R) Core(TM) i5-3570 CPU @ 3.40GHz,B8:CA:3A:93:5A:26
AAM,CVSH-TClock-905,CVSH-TClock-905,CVSH-TCLOCK-905\cpadmin,Currently Online,Desktop,STEALTH-H88,Microsoft Windows 10 IoT Enterprise LTSC 10.0.19044,5C00928,Intel(R) Core(TM) i3-8100T CPU @ 3.10GHz,00:07:32:83:36:61|8C:1D:96:E3:53:41|8C:1D:96:E3:53:45
AAM,AAMDT250,AAMDT250,CVSH\shiu.kumar1,Currently Online,Desktop,HP ProDesk 600 G1 SFF,Microsoft Windows 11 Pro 10.0.22621,MXL4391LC1,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,C4:34:6B:66:DF:CE
AAM,CVSHDT856,DESKTOP-DJ59E1I,CVSH\cg30422,Currently Online,Desktop,OptiPlex 9010,Microsoft Windows 10 Pro 10.0.19045,D1XRXV1,Intel(R) Core(TM) i5-3550 CPU @ 3.30GHz,90:B1:1C:69:5A:54
AAM,DESKTOP-0UQOLOV,DESKTOP-0UQOLOV,DESKTOP-0UQOLOV\jones,Currently Online,Desktop,HP All-in-One 22-dd0xxx,Microsoft Windows 11 Home 10.0.26100,8CC338251K,Intel(R) Celeron(R) J4025 CPU @ 2.00GHz,14:AC:60:AD:61:8D|64:4E:D7:AF:25:04|14:AC:60:AD:61:8E
AAM,CVSHDT698,CVSHDT698,CVSH\j.lovrich,Currently Online,Desktop,OptiPlex 9010,Microsoft Windows 10 Pro 10.0.19045,J1W7RW1,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz,90:B1:1C:90:83:66
AAM,AAMDT933,AAMDT933,CVSH\mq30409,Currently Online,Desktop,OptiPlex 9020,Microsoft Windows 11 Pro 10.0.22621,GK98JB2,Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz,18:66:DA:17:12:90
AAM,AAM-INV,AAM-INVTEST,CVSH\sverma,Currently Online,Server,VMware7.1,Microsoft Windows Server 2019 Standard 10.0.17763,VMware-42 21 76 5d 18 93 ce d9-8a 6f 0d 2d 9b c2 97 c2,Intel(R) Xeon(R) Gold 6330N CPU @ 2.20GHz,00:50:56:A1:5C:BA
AAM,OverIT-06,OverIT-06,OVERIT-06\Support,Currently Online,Desktop,HP Pro Tower 280 G9 PCI Desktop PC,Microsoft Windows 11 Pro 10.0.26100,1N1331095X,12th Gen Intel(R) Core(TM) i5-12500,E0:73:E7:17:01:E7|00:09:0F:FE:00:01|F8:54:F6:03:8C:9B|00:09:0F:AA:00:01|00:09:0F:AA:00:01|00:09:0F:AA:00:01
AAM,PCMOD09,PCMOD09,PCMOD09\Admin,Currently Online,Desktop,OptiPlex 3070,Microsoft Windows 11 Pro 10.0.22631,3Y5LX53,Intel(R) Core(TM) i5-9500T CPU @ 2.20GHz,A4:BB:6D:CA:CD:C5
AAM,DHLT002,DMLT002,DAMERON\education,Currently Online,Laptop,Latitude 7420,Microsoft Windows 11 Pro 10.0.22631,45M99K3,11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz,80:38:FB:F1:CA:D4|80:38:FB:F1:CA:D8
AAM,DHLT003,DHLT003,DAMERON\education,Currently Online,Laptop,Latitude 7420,Microsoft Windows 11 Pro 10.0.26100,5R299K3,11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz,80:38:FB:F1:BA:A3|80:38:FB:F1:BA:A7
AAM,DHLT007,DHLT007,DAMERON\pswanson,Currently Online,Laptop,Latitude 7420,Microsoft Windows 11 Pro 10.0.26100,88GL6J3,11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz,80:38:FB:94:A4:26|80:38:FB:94:A4:2A
AAM,AAMLT1015,AAMLT1015,AAMLT1015\Pranit,Currently Online,Laptop,Inspiron 15 3520,Microsoft Windows 11 Pro 10.0.26100,1PTLM74,12th Gen Intel(R) Core(TM) i5-1235U,C8:A3:E8:22:5E:E7|C8:A3:E8:22:5E:E8
AAM,AAMDT1016,AAMDT1016,AAMDT1016\Tashuna Johnson,Currently Online,Desktop,OptiPlex Micro 7020,Microsoft Windows 11 Pro 10.0.26100,9VLB144,Intel(R) Core(TM) i5-14500T,20:88:10:AE:7B:EA|58:6D:67:E9:8F:40|58:6D:67:E9:8F:44
AAM,AAMDT1020,AAMDT1020,AAM\cc30451,Currently Online,Desktop,OptiPlex Micro 7020,Microsoft Windows 11 Pro 10.0.26100,JTW9N34,Intel(R) Core(TM) i5-14500T,A8:3C:A5:2F:AB:6D|58:6D:67:C1:D8:D3|58:6D:67:C1:D8:D7
AAM,AAMDT1021,AAMDT1021,CVSH\nm30445,Currently Online,Desktop,OptiPlex Micro 7010,Microsoft Windows 11 Pro 10.0.22631,BHC68Y3,13th Gen Intel(R) Core(TM) i5-13500T,C4:5A:B1:EA:20:92|48:AD:9A:19:FF:19|48:AD:9A:19:FF:1D 
